Well,Control,Concentration
A1,-,4
A2,-,4
A3,-,2
A4,-,2
A5,-,1
A6,-,1
A7,+,0.5
A8,+,0.5
A9,+,0.25
A10,+,0.25
A11,+,0.125
A12,+,0.125
B1,-,4
B2,-,4
B3,-,2
B4,-,2
B5,-,1
B6,-,1
B7,+,0.5
B8,+,0.5
B9,+,0.25
B10,+,0.25
B11,+,0.125
B12,+,0.125
C1,-,4
C2,-,4
C3,-,2
C4,-,2
C5,-,1
C6,-,1
C7,+,0.5
C8,+,0.5
C9,+,0.25
C10,+,0.25
C11,+,0.125
C12,+,0.125
D1,-,4
D2,-,4
D3,-,2
D4,-,2
D5,-,1
D6,-,1
D7,+,0.5
D8,+,0.5
D9,+,0.25
D10,+,0.25
D11,+,0.125
D12,+,0.125
E1,-,4
E2,-,4
E3,-,2
E4,-,2
E5,-,1
E6,-,1
E7,+,0.5
E8,+,0.5
E9,+,0.25
E10,+,0.25
E11,+,0.125
E12,+,0.125
F1,-,4
F2,-,4
F3,-,2
F4,-,2
F5,-,1
F6,-,1
F7,+,0.5
F8,+,0.5
F9,+,0.25
F10,+,0.25
F11,+,0.125
F12,+,0.125
G1,-,4
G2,-,4
G3,-,2
G4,-,2
G5,-,1
G6,-,1
G7,+,0.5
G8,+,0.5
G9,+,0.25
G10,+,0.25
G11,+,0.125
G12,+,0.125
H1,-,4
H2,-,4
H3,-,2
H4,-,2
H5,-,1
H6,-,1
H7,+,0.5
H8,+,0.5
H9,+,0.25
H10,+,0.25
H11,+,0.125
H12,+,0.125
